ReleaseDate,Movie,Genre,ProductionBudget,DomesticBoxOfficeToDate,Year,NetflixRating,OnNetflix,Awards,Nominations,BestPicture,RottenTomatosCriticScore,RottenTomatosAudienceScore,BigGenre,CalDate
28-Sep,Won't Back Down,Drama,19000000,5310554,2012,NetflixRating,0,0,0,33,62,9.903225806451612
28-Sep,Pitch Perfect,Comedy,17000000,65001093,2012,NetflixRating,0,0,0,81,83,9.903225806451612
5-Oct,Frankenweenie,Comedy,39000000,35287788,2012,NetflixRating,0,0,0,87,70,10.161290322580646
12-Oct,Argo,Thriller/Suspense,44500000,136025503,2012,NetflixRating,3,7,1,96,90,10.387096774193548
12-Oct,Here Comes the Boom,Comedy,42000000,45290318,2012,NetflixRating,0,0,0,38,67,10.387096774193548
12-Oct,Seven Psychopaths,Comedy,13500000,15024049,2012,NetflixRating,0,0,0,83,71,10.387096774193548
12-Oct,Sinister,Thriller/Suspense,3000000,48086903,2012,NetflixRating,0,0,0,63,61,10.387096774193548
19-Oct,Paranormal Activity 4,Horror,5000000,53900335,2012,NetflixRating,0,0,0,24,35,10.612903225806452
26-Oct,Cloud Atlas,Drama,102000000,27108272,2012,NetflixRating,0,0,0,66,66,10.838709677419354
26-Oct,Chasing Mavericks,Drama,20000000,6002756,2012,NetflixRating,0,0,0,31,71,10.838709677419354
26-Oct,Silent Hill: Revelation 3D,Horror,20000000,17530219,2012,NetflixRating,0,0,0,5,36,10.838709677419354
2-Nov,Flight,Drama,31000000,93772375,2012,NetflixRating,0,0,0,78,75,11.064516129032258
2-Nov,The Man with the Iron Fists,Action,15000000,15634090,2012,NetflixRating,0,0,0,49,41,11.064516129032258
2-Nov,Vamps,Romantic Comedy,16000000,3361,2012,NetflixRating,0,0,0,50,33,11.064516129032258
2-Nov,Wreck-It Ralph,Adventure,165000000,189412677,2012,NetflixRating,0,0,0,86,86,11.064516129032258
8-Nov,Skyfall,Action,200000000,304360277,2012,NetflixRating,2,5,0,92,86,11.258064516129032
9-Nov,Lincoln,Drama,65000000,182207973,2012,NetflixRating,2,12,0,90,81,11.290322580645162
16-Nov,Anna Karenina,Drama,49000000,12816367,2012,NetflixRating,1,4,0,63,50,11.516129032258064
16-Nov,Silver Linings Playbook,Drama,21000000,132092958,2012,NetflixRating,1,8,0,92,86,11.516129032258064
16-Nov,The Twilight Saga: Breaking Dawn: Part 2,Drama,136200000,292324737,2012,NetflixRating,0,0,0,48,71,11.516129032258064
21-Nov,Life of Pi,Drama,120000000,124987022,2012,NetflixRating,4,11,0,87,85,11.67741935483871
21-Nov,Red Dawn,Action,65000000,44806783,2012,NetflixRating,0,0,0,12,52,11.67741935483871
21-Nov,Rise of the Guardians,Adventure,145000000,103412758,2012,NetflixRating,0,0,0,74,81,11.67741935483871
30-Nov,Killing Them Softly,Thriller/Suspense,15000000,14945541,2012,NetflixRating,0,0,0,75,44,11.967741935483872
14-Dec,The Hobbit: An Unexpected Journey,Adventure,250000000,303003568,2012,NetflixRating,0,0,0,64,83,12.451612903225806
19-Dec,Amour,Drama,9700000,6738954,2012,NetflixRating,1,5,0,93,82,12.612903225806452
