Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
,The Decoy Bride,Comedy,,759,,2012
,Friends with Kids,Romantic Comedy,,7251073,Play,2012
,Good for Nothing,Western,,0,,2012
,He'arat Shulayim,Drama,,2007451,,2012
,Jiro Dreams of Sushi,Documentary,,2552478,,2012
,John Carter,Adventure,275000000,73058679,Play,2012
,Salmon Fishing in the Yemen,Drama,,9041540,Play,2012
,Shakespeare High,Documentary,,0,,2012
,Silent House,Horror,,12739737,Play,2012
,Sound of Noise,Comedy,,24565,,2012
,A Thousand Words,Comedy,40000000,18450127,Play,2012
,Unter Bauern,Drama,,0,,2012
,,,,,,2012
11-Mar,Les Enfants du Paradis,,,36986,,2012
,,,,,,2012
12-Mar,LA Phil LIVE: Gustavo Dudamel and Herbie Hancock Celebrate Gershwin,Concert/Performance,,0,,2012
,,,,,,2012
13-Mar,Scooby Doo! Music of the Vampire,Adventure,,0,,2012
,,,,,,2012
14-Mar,La Delicatesse,Drama,,0,,2012
,Gerhard Richter Painting,Documentary,,2374911,,2012
,Pray for Japan,Documentary,,0,,2012
,,,,,,2012
15-Mar,Turkisch fur Anfanger,Romantic Comedy,,0,,2012
,,,,,,2012
16-Mar,21 Jump Street,Comedy,,138447667,Play,2012
,Around June,Drama,,9102,,2012
,Casa de mi Padre,Comedy,6000000,5909483,Play,2012
,Detachment,Drama,,70740,,2012
,The FP,Comedy,,0,,2012
,Le gamin au vélo,Drama,,1389524,,2012
,Les hommes libres,Drama,,22578,,2012
,Jeff: Who Lives at Home,Comedy,,4269426,Play,2012
,Natural Selection,Comedy,,46635,,2012
,Payback,Documentary,,59736,,2012
,Playback,Horror,,264,,2012
,Reuniting the Rubins,Comedy,,13569,,2012
,Sedona,Drama,,19532,,2012
,Seeking Justice,Action,,411746,Play,2012
,Toutes nos envies,Drama,,22517,,2012
,The Understudy,Black Comedy,,17036,,2012
,,,,,,2012
17-Mar,Bokura ga ita Zenpen,Drama,,0,,2012
,,,,,,2012
20-Mar,Adventures in Lalaloopsy Land: The Search for Pillow,,,0,,2012
,Batoru rowaiaru,Thriller/Suspense,,0,,2012
,From Time to Time,Adventure,,0,,2012
,A Lonely Place to Die,Adventure,4000000,0,,2012
,National Lampoons: The Legend of Awesomest Maximus,Comedy,,0,,2012
,Snow White: A Deadly Summer,Horror,1000000,0,,2012
,Splintered,,,0,,2012
,Swan Lake in 3D,Concert/Performance,,0,,2012
,Telstar: The Joe Meek Story,,,0,,2012
,This is Not a Movie,Comedy,,0,,2012
,,,,,,2012
22-Mar,'CAN U FEEL IT - The UMF Experience,Concert/Performance,,0,,2012
,Geonchukhakgaeron,Drama,,0,,2012
,,,,,,2012
23-Mar,4:44 Last Day on Earth,Drama,,17801,,2012
,Agent Vinrod,,,698210,,2012
,All In: The Poker Movie,Documentary,,0,,2012
,Brake,Thriller/Suspense,,4876,,2012
,The Deep Blue Sea,Drama,,1126027,,2012
,The Hunger Games,Thriller/Suspense,80000000,408010692,Play,2012
,The Long Day Closes,Drama,,22765,,2012
,Musical Chairs,Drama,,31478,,2012
,October Baby,Drama,1000000,5355847,Play,2012
,Serbuan maut,Action,,4105123,,2012
,The Trouble With Bliss,Comedy,,13093,,2012
,,,,,,2012
26-Mar,Joseph And The Amazing Technicolor Dreamcoat,Concert/Performance,,0,,2012
,,,,,,2012
27-Mar,Betty White Champion for Animals,Documentary,,0,,2012
,Breaking Wind,Comedy,,0,,2012
,Camel Spiders,Horror,,0,,2012
,Confucius,Drama,,0,,2012
,Monumental,,,0,,2012
,,,,,,2012
28-Mar,The Island President,Documentary,,75233,,2012
,,,,,,2012
29-Mar,Soda Springs,,,0,,2012
,,,,,,2012
30-Mar,The Beat Hotel,Documentary,,6480,,2012
,Bully,Documentary,,3483795,Play,2012
,Dark Tide,Thriller/Suspense,,0,,2012
,Få meg på: for faen,Comedy,,126085,,2012
,Hot Flash Havoc,Documentary,,0,,2012
,I Kissed a Vampire,Musical,,1380,,2012
,Intruders,Horror,,48366,,2012
,The Legend of Hell's Gate: An American Conspiracy,Western,2000000,0,,2012
,Losing Control,Comedy,,0,,2012
,Mirror Mirror,Adventure,85000000,64935167,Play,2012
,Womb,Drama,13000000,0,,2012
,Wrath of the Titans,Adventure,150000000,83670083,Play,2012
,,,,,,2012
31-Mar,Foreign Letters,Drama,,0,,2012
April: 2012,,,,,,2012
3-Apr,Ayn Rand and the Prophecy of Atlas Shrugged,Documentary,,0,,2012
,Enter Nowhere,Thriller/Suspense,,0,,2012
,Griefwalker,Documentary,,0,,2012
,Hellacious Acres: The Case of John Glass,Black Comedy,,0,,2012
,Jake & the Never Land Pirates: Peter Pan Returns,Adventure,,0,,2012
,Titanic,Drama,,0,,2012
,,,,,,2012
4-Apr,Sur la piste du Marsupilami,Adventure,,0,,2012
,,,,,,2012
5-Apr,Air Racers 3D,Documentary,,1309987,,2012
,,,,,,2012
6-Apr,American Reunion,Comedy,50000000,56758835,Play,2012
,L'assaut,Drama,,0,,2012
,ATM,Thriller/Suspense,,3010,,2012
,Comic-Con Episode IV: A Fan's Hope,Documentary,,34665,,2012
,Damsels in Distress,Black Comedy,,1007535,,2012
,Fightville,Documentary,,1333,,2012
,Habemus Papam,Comedy,,486902,,2012
,Housefull 2,Comedy,,1586745,,2012
,The Hunter,Drama,,176669,,2012
,Keyhole,Thriller/Suspense,,22393,,2012
,Player Hating: A Love Story,Documentary,,0,,2012
,Rascal Flatts - CHANGED,Concert/Performance,,0,,2012
,Surviving Progress,Documentary,,53953,,2012
,Take Me Home,Romantic Comedy,,15374,,2012
,We the Party,Comedy,,0,,2012
,,,,,,2012
7-Apr,Gekijyohan SPEC Ten,Thriller/Suspense,,0,,2012
,,,,,,2012
9-Apr,Gabriel Iglesias: Aloha Fluffy,Concert/Performance,,0,,2012
,,,,,,2012
10-Apr,Astonishing X-Men: Dangerous,Action,,0,,2012
,Donald Glover: Weirdo,,,0,,2012
,The Terror Experimnet,,,0,,2012
,A Trip to the Moon,Adventure,,0,,2012
,The Witches of Oz,Adventure,,0,,2012
,,,,,,2012
11-Apr,DeadTime,Horror,,156072,,2012
,The Lady,Drama,,135985,,2012
,Post Mortem,Drama,,9750,,2012
,,,,,,2012
12-Apr,Meitantei Conan: Juichi-ninme no Striker,Action,,0,,2012
,Menopause in an Hour,,,0,,2012
,Tonight You're Mine,Romantic Comedy,,4321,,2012
,,,,,,2012
13-Apr,Angele et Tony,,,7323,,2012
,Bad Ass,Action,,0,,2012
,Blue Like Jazz,Comedy,1200000,595018,Play,2012
,The Cabin in the Woods,Thriller/Suspense,30000000,42073277,Play,2012
,Deadline,Drama,,0,,2012
,Detention,Comedy,10000000,0,,2012
,Lockout,Thriller/Suspense,,14326865,Play,2012
,Here,Drama,,26464,,2012
,Hit So Hard,Documentary,,34025,,2012
,How to Grow a Band,Documentary,,19237,,2012
,Late Bloomers,Romantic Comedy,,0,,2012
,L!fe Happens,Comedy,,30905,,2012
,The Three Stooges,Comedy,30000000,44338224,Play,2012
,Touchback,Drama,,204157,,2012
,Woman Thou Art Loosed On the 7th Day,Drama,,1301562,,2012
,,,,,,2012
16-Apr,Ok-hui-ui yeonghwa,Multiple Genres,,0,,2012
,,,,,,2012
17-Apr,The Broken Tower,Drama,,0,,2012
,The Flaw,Documentary,,0,,2012
,The Getting of Wisdom,Drama,,0,,2012
,Harold and Maude,Black Comedy,,0,,2012
,Seven Below,,,0,,2012
,,,,,,2012
18-Apr,Inside Hana's Suitcase,Drama,,0,,2012
,,,,,,2012
20-Apr,Un amour de jeunesse,Drama,,64925,,2012
,Book chon bang hyang,Drama,,0,,2012
,Chimpanzee,Documentary,,28965459,Play,2012
,Darling Companion,Comedy,,793352,,2012
,Downtown Express,Drama,,3474,,2012
,Jesus Henry Christ,Drama,,13714,,2012
,The Lucky One,Drama,,60457138,Play,2012
,Mai wei,Drama,,70177,,2012
,Marley,Documentary,,1413480,,2012
,The Moth Diaries,Horror,,3838,,2012
,Penumbra,Horror,,0,,2012
,Think Like a Man,Romantic Comedy,12000000,91547205,Play,2012
,To the Arctic 3D,Documentary,,14003795,Play,2012
,The Veteran,,,0,,2012
,Zombie Dawn,Horror,,0,Play,2012
,,,,,,2012
21-Apr,Bokura ga Ita Kohen,Drama,,0,,2012
,,,,,,2012
23-Apr,Huang Jin Da Jie An,Drama,,0,,2012
,,,,,,2012
24-Apr,Cinema Verite,,,0,,2012
,The Fields,Horror,,0,,2012
,The Organizer,,,0,,2012
,The Red House,,,0,,2012
,Suor Omicidi,,,0,,2012
,Titanic: 100 Years On,,,0,,2012
,,,,,,2012
25-Apr,Booker's Place: A Mississippi Story,Documentary,,5549,,2012
,Inventing Our Life: The Kibbutz Experiment,Documentary,,16734,,2012
,,,,,,2012
27-Apr,96 Minutes,Drama,,0,,2012
,Bernie,Black Comedy,,9204489,,2012
,Citizen Gangster,Drama,,625,,2012
,Elles,Drama,,157427,,2012
,The Five-Year Engagement,Romantic Comedy,,28700285,Play,2012
,The Giant Mechanical Man,Romantic Comedy,,7396,,2012
,Hodejegeme,Thriller/Suspense,,1200010,,2012
,Mantis,,,0,,2012
,The Pirates! Band of Misfits,Adventure,55000000,31051126,Play,2012
,The Raven,Thriller/Suspense,,16008272,Play,2012
,Restless City,Drama,,0,,2012
,Safe,Action,33000000,17142080,Play,2012
,Sàidékè balái,Drama,,0,,2012
,Sound of My Voice,Thriller/Suspense,,408015,Play,2012
,AREA 407,Horror,,0,,2012
,Whores' Glory,Documentary,,306151,,2012
,,,,,,2012
29-Apr,Carl,Horror,,2592,,2012
May: 2012,,,,,,2012
1-May,Bird of Paradise,Adventure,,0,,2012
,Flicka: Country Pride,Drama,,0,,2012
,Level Up,Adventure,,0,,2012
,,,,,,2012
4-May,Marvel's The Avengers,Adventure,225000000,623279547,Play,2012
,A Beautiful Soul,Drama,,54008,,2012
,The Best Exotic Marigold Hotel,Comedy,10000000,46383639,Play,2012
,Céline et Julie vont en bateau - Phantom Ladies Over Paris,,,31452,,2012
,Death of a Superhero,Drama,,607,,2012
,First Position,Documentary,,908235,,2012
,Follow Me: The Yoni Netanyahu Story,Documentary,,112679,,2012
,Asylum Blackout,Horror,,0,,2012
,Jannet 2,Thriller/Suspense,,0,,2012
,Last Call at the Oasis,Documentary,,40846,,2012
,A Little Bit of Heaven,Romantic Comedy,,10011,,2012
,LOL,Comedy,11000000,0,,2012
,Meeting Evil,Drama,,525,,2012
,Mother's Day,Horror,,0,,2012
,The Perfect Family,Comedy,,110013,,2012
,This Binary Universe,Documentary,,15875,,2012
,,,,,,2012
7-May,Der Ring des Nibelungen,Concert/Performance,,0,,2012
,,,,,,2012
8-May,Beautiful Wave,Drama,,0,,2012
,Cinnamon,,,0,,2012
,The Genesis Code,Drama,,0,,2012
,Kawa,,,0,,2012
,The Kreutzer Sonata,,,0,,2012
,Love's Everlasting Courage,Drama,,0,,2012
,Madison County,Horror,,0,,2012
,Senritsu meikuy 3D,,,0,,2012
,,,,,,2012
9-May,Patience (After Sebald),Documentary,,0,,2012
,,,,,,2012
10-May,This American Life - Live,Documentary,,0,,2012
,,,,,,2012
11-May,After Dark Action,Action,,0,,2012
,A Bag of Hammers,Comedy,,0,,2012
,The Cup,Drama,,0,,2012
