"","ReleaseDate","Movie","Genre","ProductionBudget","DomesticBoxOfficeToDate","Year","NetflixStars","OnNetflix","Awards","Nominations","BestPicture","RottenTomatosCriticsScore","RottenTomatosAudienceScore","BigGenre","Oscar","Blockbuster","CalDate"
"106","21-Dec","Jack Reacher","Drama",60000000,80070736,2012,4,"On Netflix",0,0,0,61,67,"Drama"," Nominated"," Under 100M",12.67741935
"107","21-Dec","On the Road","Drama",25000000,720828,2012,NA,"Not on Netflix",0,0,0,44,34,"Drama"," Nominated"," Under 100M",12.67741935
"108","25-Dec","Parental Guidance","Comedy",25000000,77267296,2012,NA,"Not on Netflix",0,0,0,18,60,"Comedy"," Nominated"," Under 100M",12.80645161
"109","28-Dec","Promised Land","Drama",15000000,7597898,2012,2.7,"On Netflix",0,0,0,52,46,"Drama"," Nominated"," Under 100M",12.90322581
"110","7-Jan","Season of the Witch","Thriller/Suspense",40000000,24827228,2011,NA,"Not on Netflix",0,0,0,10,31,"Thriller/Suspense"," Nominated"," Under 100M",1.225806452
"111","14-Jan","The Dilemma","Comedy",70000000,48475290,2011,NA,"Not on Netflix",0,0,0,24,29,"Comedy"," Nominated"," Under 100M",1.451612903
"112","14-Jan","Down for Life","Drama",3800000,41914,2011,NA,"Not on Netflix",0,0,0,-1,97,"Drama"," Nominated"," Under 100M",1.451612903
"113","14-Jan","The Green Hornet","Action",110000000,98780042,2011,NA,"Not on Netflix",0,0,0,43,43,"Action"," Nominated"," Under 100M",1.451612903
"114","21-Jan","No Strings Attached","Romantic Comedy",25000000,70662220,2011,NA,"Not on Netflix",0,0,0,49,52,"Comedy"," Nominated"," Under 100M",1.677419355
"115","28-Jan","The Mechanic","Action",42500000,29121498,2011,NA,"Not on Netflix",0,0,0,53,52,"Action"," Nominated"," Under 100M",1.903225806
"116","28-Jan","The Rite","Horror",37000000,33047633,2011,NA,"Not on Netflix",0,0,0,21,41,"Horror"," Nominated"," Under 100M",1.903225806
"117","4-Feb","The Roommate","Thriller/Suspense",16000000,37300107,2011,NA,"Not on Netflix",0,0,0,4,27,"Thriller/Suspense"," Nominated"," Under 100M",2.129032258
"118","4-Feb","Sanctum","Adventure",30000000,23209310,2011,NA,"Not on Netflix",0,0,0,30,38,"Adventure"," Nominated"," Under 100M",2.129032258
"119","11-Feb","Gnomeo and Juliet","Comedy",36000000,99967670,2011,NA,"Not on Netflix",0,0,0,55,55,"Comedy"," Nominated"," Under 100M",2.35483871
"120","11-Feb","Just Go With It","Romantic Comedy",80000000,103028109,2011,NA,"Not on Netflix",0,0,0,19,60,"Comedy"," Nominated"," Over 100M",2.35483871
"121","18-Feb","Big Mommas: Like Father: Like Son","Comedy",32000000,37915414,2011,NA,"Not on Netflix",0,0,0,5,58,"Comedy"," Nominated"," Under 100M",2.580645161
"122","18-Feb","I am Number Four","Adventure",50000000,55100437,2011,NA,"Not on Netflix",0,0,0,33,58,"Adventure"," Nominated"," Under 100M",2.580645161
"123","18-Feb","Unknown","Thriller/Suspense",40000000,63686397,2011,3.4,"On Netflix",0,0,0,38,54,"Thriller/Suspense"," Nominated"," Under 100M",2.580645161
"124","25-Feb","Des Hommes et Des Dieux","Drama",5000000,3954651,2011,NA,"Not on Netflix",0,0,0,93,76,"Drama"," Nominated"," Under 100M",2.806451613
