ID,Word,Count
204,custody,2
207,dancing,2
218,declare,2
222,delighted,2
223,delightful,2
224,denied,2
225,deny,2
229,difficult,2
233,dinahll,2
234,dinn,2
235,dinner,2
236,dipped,2
237,directed,2
240,directly,2
241,disappeared,2
243,dishes,2
244,dispute,2
249,dog,2
254,doors,2
258,doubtful,2
259,doubtfully,2
261,dreadful,2
266,drive,2
268,drunk,2
273,dull,2
274,eager,2
278,earls,2
279,earnestly,2
283,easy,2
287,edwin,2
293,encouraging,2
296,entangled,2
297,entirely,2
299,evening,2
301,everythings,2
304,excellent,2
307,execution,2
309,executions,2
311,experiment,2
313,explanation,2
314,explanatione,2
315,extraordinary,2
316,extremely,2
324,falling,2
326,fancied,2
329,fashion,2
334,feeble,2
337,feelings,2
342,ferrets,2
344,fight,2
346,filled,2
352,fishfootman,2
355,flamingoes,2
356,flat,2
358,flowers,2
367,footsteps,2
368,forehead,2
369,forget,2
371,forgot,2
373,fountains,2
377,friends,2
378,fright,2
380,frog,2
385,fury,2
387,games,2
397,giving,2
404,goldfish,2
407,goose,2
427,guineapig,2
445,hatters,2
454,hedge,2
462,hint,2
464,hit,2
474,hour,2
478,humbly,2
482,hurriedly,2
487,ii,2
490,imagine,2
497,inside,2
503,interrupting,2
504,introduce,2
505,invitation,2
506,invited,2
508,isoh,2
511,jar,2
512,jaws,2
514,joined,2
523,keeping,2
529,kindly,2
536,knife,2
538,knot,2
540,knowing,2
542,knows,2
543,label,2
545,lap,2
548,lasted,2
551,latitude,2
552,laughed,2
553,laughing,2
554,law,2
556,leaning,2
559,learnt,2
564,lefthand,2
570,lie,2
575,line,2
584,living,2
588,locks,2
589,lonely,2
591,longed,2
593,longitude,2
600,loudly,2
602,lovely,2
604,luckily,2
606,ma,2
616,manner,2
623,matters,2
628,meekly,2
629,meet,2
632,mercia,2
633,merely,2
634,messages,2
638,mile,2
644,missed,2
648,moments,2
649,month,2
651,morcar,2
658,muchness,2
661,mustard,2
662,muttered,2
664,mystery,2
665,names,2
666,narrow,2
671,neatly,2
676,nibbled,2
679,nicely,2
683,northumbria,2
685,notebook,2
690,nurse,2
693,occurred,2
696,offer,2
700,older,2
701,ones,2
708,ordering,2
709,ornamented,2
715,painting,2
719,panting,2
721,parchment,2
723,paris,2
729,pat,2
730,patiently,2
732,pause,2
735,pebbles,2
737,pennyworth,2
741,persisted,2
743,personal,2
745,picking,2
747,pie,2
752,pigs,2
753,pinch,2
754,pinched,2
755,pity,2
757,places,2
760,plates,2
763,playing,2
766,plenty,2
774,position,2
778,presently,2
779,presents,2
782,proceed,2
785,proud,2
786,proved,2
787,proves,2
789,purring,2
794,quarrelling,2
800,quick,2
801,quickly,2
802,quiet,2
808,race,2
809,railway,2
811,rapidly,2
813,raving,2
821,recovered,2
822,red,2
823,regular,2
824,relief,2
827,remarkable,2
833,removed,2
840,resting,2
841,returned,2
843,righthand,2
844,ring,2
845,ringlets,2
848,roses,2
851,row,2
852,rubbing,2
853,rude,2
858,rush,2
861,safe,2
863,salt,2
864,sang,2
872,scream,2
873,screamed,2
874,scroll,2
877,secondly,2
879,sell,2
880,sending,2
881,sensation,2
883,sent,2
891,sh,2
898,shed,2
905,shorter,2
910,shouting,2
911,shower,2
912,showing,2
917,shutting,2
923,signed,2
926,simple,2
927,simply,2
929,singers,2
930,singing,2
933,sisters,2
938,slate,2
946,smallest,2
947,smile,2
948,smiled,2
949,smiling,2
950,smoking,2
952,snatch,2
953,sneezes,2
956,sobs,2
963,sooner,2
965,sorrow,2
966,sorrowful,2
977,splashing,2
979,spoon,2
982,stamping,2
985,started,2
986,startled,2
989,stirring,2
990,stole,2
992,stoop,2
996,straight,2
998,stretched,2
999,stretching,2
1000,struck,2
1008,sulkily,2
1010,sun,2
1018,swimming,2
1023,takes,2
1028,taller,2
1030,taste,2
1035,teaparty,2
1037,teatime,2
1040,telling,2
1041,tells,2
1045,themand,2
1055,thistle,2
1056,thoroughly,2
1059,thoughts,2
1060,thousand,2
1061,threelegged,2
1062,threw,2
1063,throat,2
1065,throwing,2
1066,thump,2
1070,timid,2
1079,tones,2
1085,treading,2
1088,trembled,2
1093,triumphantly,2
1094,trotting,2
1098,trumpetidwiaw,2
1099,trumpetisly,2
1103,tumbling,2
1110,tut,2
1111,twentyfour,2
1115,twist,2
1116,ugh,2
1117,uglification,2
1118,ugly,2
1121,undertone,2
1122,uneasily,2
1123,unfolded,2
1124,unfortunate,2
1125,unhappy,2
1127,unless,2
1128,unpleasant,2
1129,unrolled,2
1133,useful,2
1134,using,2
1136,usually,2
1143,violent,2
1146,voices,2
1147,waistcoatpocket,2
1150,wake,2
1154,wandering,2
1157,wants,2
1158,wash,2
1159,washing,2
1161,wasting,2
1163,watched,2
1170,wet,2
1171,weve,2
1178,wide,2
1179,wig,2
1180,wildly,2
1183,wine,2
1184,wink,2
1185,wise,2
1188,won,2
1190,wonderful,2
1202,wretched,2
1209,yawned,2
1210,yawning,2
1211,year,2
